reason	subject	predicate	object
subject_bnode	_:n6ebc01f880c24d13a1c5e55edce65ac0b10	<http://www.w3.org/2002/07/owl#someValuesFrom>	<http://www.lehigh.edu/~zhp2/2004/0401/univ-bench.owl#Organization>
subject_bnode	_:n6ebc01f880c24d13a1c5e55edce65ac0b7	<http://www.w3.org/1999/02/22-rdf-syntax-ns#first>	_:n6ebc01f880c24d13a1c5e55edce65ac0b5
subject_bnode	_:n6ebc01f880c24d13a1c5e55edce65ac0b8	<http://www.w3.org/2002/07/owl#onProperty>	<http://www.lehigh.edu/~zhp2/2004/0401/univ-bench.owl#headOf>
subject_bnode	_:n6ebc01f880c24d13a1c5e55edce65ac0b2	<http://www.w3.org/1999/02/22-rdf-syntax-ns#first>	<http://www.lehigh.edu/~zhp2/2004/0401/univ-bench.owl#Person>
subject_bnode	_:n6ebc01f880c24d13a1c5e55edce65ac0b17	<http://www.w3.org/2002/07/owl#onProperty>	<http://www.lehigh.edu/~zhp2/2004/0401/univ-bench.owl#takesCourse>
subject_bnode	_:n6ebc01f880c24d13a1c5e55edce65ac0b9	<http://www.w3.org/1999/02/22-rdf-syntax-ns#rest>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#nil>
subject_bnode	_:n6ebc01f880c24d13a1c5e55edce65ac0b11	<http://www.w3.org/1999/02/22-rdf-syntax-ns#rest>	_:n6ebc01f880c24d13a1c5e55edce65ac0b12
subject_bnode	_:n6ebc01f880c24d13a1c5e55edce65ac0b1	<http://www.w3.org/2002/07/owl#someValuesFrom>	<http://www.lehigh.edu/~zhp2/2004/0401/univ-bench.owl#Department>
subject_bnode	_:n6ebc01f880c24d13a1c5e55edce65ac0b7	<http://www.w3.org/1999/02/22-rdf-syntax-ns#rest>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#nil>
subject_bnode	_:n6ebc01f880c24d13a1c5e55edce65ac0b1	<http://www.w3.org/2002/07/owl#onProperty>	<http://www.lehigh.edu/~zhp2/2004/0401/univ-bench.owl#headOf>
subject_bnode	_:n6ebc01f880c24d13a1c5e55edce65ac0b13	<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>	<http://www.w3.org/2002/07/owl#Restriction>
subject_bnode	_:n6ebc01f880c24d13a1c5e55edce65ac0b10	<http://www.w3.org/2002/07/owl#onProperty>	<http://www.lehigh.edu/~zhp2/2004/0401/univ-bench.owl#worksFor>
subject_bnode	_:n6ebc01f880c24d13a1c5e55edce65ac0b11	<http://www.w3.org/1999/02/22-rdf-syntax-ns#first>	<http://www.lehigh.edu/~zhp2/2004/0401/univ-bench.owl#Person>
subject_bnode	_:n6ebc01f880c24d13a1c5e55edce65ac0b16	<http://www.w3.org/2002/07/owl#someValuesFrom>	<http://www.lehigh.edu/~zhp2/2004/0401/univ-bench.owl#GraduateCourse>
subject_bnode	_:n6ebc01f880c24d13a1c5e55edce65ac0b15	<http://www.w3.org/1999/02/22-rdf-syntax-ns#rest>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#nil>
subject_bnode	_:n6ebc01f880c24d13a1c5e55edce65ac0b4	<http://www.w3.org/2002/07/owl#someValuesFrom>	<http://www.lehigh.edu/~zhp2/2004/0401/univ-bench.owl#ResearchGroup>
object_bnode	<http://www.lehigh.edu/~zhp2/2004/0401/univ-bench.owl#Dean>	<http://www.w3.org/2002/07/owl#intersectionOf>	_:n6ebc01f880c24d13a1c5e55edce65ac0b9
subject_bnode	_:n6ebc01f880c24d13a1c5e55edce65ac0b3	<http://www.w3.org/1999/02/22-rdf-syntax-ns#rest>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#nil>
subject_bnode	_:n6ebc01f880c24d13a1c5e55edce65ac0b14	<http://www.w3.org/1999/02/22-rdf-syntax-ns#rest>	_:n6ebc01f880c24d13a1c5e55edce65ac0b15
subject_bnode	_:n6ebc01f880c24d13a1c5e55edce65ac0b19	<http://www.w3.org/1999/02/22-rdf-syntax-ns#rest>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#nil>
subject_bnode	_:n6ebc01f880c24d13a1c5e55edce65ac0b13	<http://www.w3.org/2002/07/owl#onProperty>	<http://www.lehigh.edu/~zhp2/2004/0401/univ-bench.owl#headOf>
subject_bnode	_:n6ebc01f880c24d13a1c5e55edce65ac0b18	<http://www.w3.org/1999/02/22-rdf-syntax-ns#first>	<http://www.lehigh.edu/~zhp2/2004/0401/univ-bench.owl#Person>
subject_bnode	_:n6ebc01f880c24d13a1c5e55edce65ac0b14	<http://www.w3.org/1999/02/22-rdf-syntax-ns#first>	<http://www.lehigh.edu/~zhp2/2004/0401/univ-bench.owl#Person>
subject_bnode	_:n6ebc01f880c24d13a1c5e55edce65ac0b5	<http://www.w3.org/2002/07/owl#onProperty>	<http://www.lehigh.edu/~zhp2/2004/0401/univ-bench.owl#teachingAssistantOf>
subject_bnode	_:n6ebc01f880c24d13a1c5e55edce65ac0b8	<http://www.w3.org/2002/07/owl#someValuesFrom>	<http://www.lehigh.edu/~zhp2/2004/0401/univ-bench.owl#College>
subject_bnode	_:n6ebc01f880c24d13a1c5e55edce65ac0b16	<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>	<http://www.w3.org/2002/07/owl#Restriction>
