reason	subject	predicate	object
subject_bnode	_:n9101eb81d8ac4180a6764f4807965847b12	<http://www.w3.org/1999/02/22-rdf-syntax-ns#first>	_:n9101eb81d8ac4180a6764f4807965847b10
object_bnode	<http://www.lehigh.edu/~zhp2/2004/0401/univ-bench.owl#Director>	<http://www.w3.org/2002/07/owl#intersectionOf>	_:n9101eb81d8ac4180a6764f4807965847b14
subject_bnode	_:n9101eb81d8ac4180a6764f4807965847b17	<http://www.w3.org/2002/07/owl#someValuesFrom>	<http://www.lehigh.edu/~zhp2/2004/0401/univ-bench.owl#Course>
subject_bnode	_:n9101eb81d8ac4180a6764f4807965847b16	<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>	<http://www.w3.org/2002/07/owl#Restriction>
object_bnode	<http://www.lehigh.edu/~zhp2/2004/0401/univ-bench.owl#Student>	<http://www.w3.org/2002/07/owl#intersectionOf>	_:n9101eb81d8ac4180a6764f4807965847b18
subject_bnode	_:n9101eb81d8ac4180a6764f4807965847b5	<http://www.w3.org/2002/07/owl#someValuesFrom>	<http://www.lehigh.edu/~zhp2/2004/0401/univ-bench.owl#Course>
subject_bnode	_:n9101eb81d8ac4180a6764f4807965847b9	<http://www.w3.org/1999/02/22-rdf-syntax-ns#first>	_:n9101eb81d8ac4180a6764f4807965847b8
subject_bnode	_:n9101eb81d8ac4180a6764f4807965847b4	<http://www.w3.org/2002/07/owl#someValuesFrom>	<http://www.lehigh.edu/~zhp2/2004/0401/univ-bench.owl#ResearchGroup>
subject_bnode	_:n9101eb81d8ac4180a6764f4807965847b5	<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>	<http://www.w3.org/2002/07/owl#Restriction>
subject_bnode	_:n9101eb81d8ac4180a6764f4807965847b14	<http://www.w3.org/1999/02/22-rdf-syntax-ns#rest>	_:n9101eb81d8ac4180a6764f4807965847b15
subject_bnode	_:n9101eb81d8ac4180a6764f4807965847b2	<http://www.w3.org/1999/02/22-rdf-syntax-ns#rest>	_:n9101eb81d8ac4180a6764f4807965847b3
subject_bnode	_:n9101eb81d8ac4180a6764f4807965847b18	<http://www.w3.org/1999/02/22-rdf-syntax-ns#rest>	_:n9101eb81d8ac4180a6764f4807965847b19
subject_bnode	_:n9101eb81d8ac4180a6764f4807965847b18	<http://www.w3.org/1999/02/22-rdf-syntax-ns#first>	<http://www.lehigh.edu/~zhp2/2004/0401/univ-bench.owl#Person>
subject_bnode	_:n9101eb81d8ac4180a6764f4807965847b19	<http://www.w3.org/1999/02/22-rdf-syntax-ns#first>	_:n9101eb81d8ac4180a6764f4807965847b17
subject_bnode	_:n9101eb81d8ac4180a6764f4807965847b7	<http://www.w3.org/1999/02/22-rdf-syntax-ns#first>	_:n9101eb81d8ac4180a6764f4807965847b5
subject_bnode	_:n9101eb81d8ac4180a6764f4807965847b9	<http://www.w3.org/1999/02/22-rdf-syntax-ns#rest>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#nil>
subject_bnode	_:n9101eb81d8ac4180a6764f4807965847b8	<http://www.w3.org/2002/07/owl#someValuesFrom>	<http://www.lehigh.edu/~zhp2/2004/0401/univ-bench.owl#College>
object_bnode	<http://www.lehigh.edu/~zhp2/2004/0401/univ-bench.owl#Chair>	<http://www.w3.org/2002/07/owl#intersectionOf>	_:n9101eb81d8ac4180a6764f4807965847b2
subject_bnode	_:n9101eb81d8ac4180a6764f4807965847b1	<http://www.w3.org/2002/07/owl#someValuesFrom>	<http://www.lehigh.edu/~zhp2/2004/0401/univ-bench.owl#Department>
subject_bnode	_:n9101eb81d8ac4180a6764f4807965847b14	<http://www.w3.org/1999/02/22-rdf-syntax-ns#first>	<http://www.lehigh.edu/~zhp2/2004/0401/univ-bench.owl#Person>
subject_bnode	_:n9101eb81d8ac4180a6764f4807965847b15	<http://www.w3.org/1999/02/22-rdf-syntax-ns#first>	_:n9101eb81d8ac4180a6764f4807965847b13
subject_bnode	_:n9101eb81d8ac4180a6764f4807965847b6	<http://www.w3.org/1999/02/22-rdf-syntax-ns#rest>	_:n9101eb81d8ac4180a6764f4807965847b7
subject_bnode	_:n9101eb81d8ac4180a6764f4807965847b17	<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>	<http://www.w3.org/2002/07/owl#Restriction>
subject_bnode	_:n9101eb81d8ac4180a6764f4807965847b11	<http://www.w3.org/1999/02/22-rdf-syntax-ns#first>	<http://www.lehigh.edu/~zhp2/2004/0401/univ-bench.owl#Person>
object_bnode	<http://www.lehigh.edu/~zhp2/2004/0401/univ-bench.owl#Employee>	<http://www.w3.org/2002/07/owl#intersectionOf>	_:n9101eb81d8ac4180a6764f4807965847b11
subject_bnode	_:n9101eb81d8ac4180a6764f4807965847b13	<http://www.w3.org/2002/07/owl#someValuesFrom>	<http://www.lehigh.edu/~zhp2/2004/0401/univ-bench.owl#Program>
subject_bnode	_:n9101eb81d8ac4180a6764f4807965847b10	<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>	<http://www.w3.org/2002/07/owl#Restriction>
subject_bnode	_:n9101eb81d8ac4180a6764f4807965847b4	<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>	<http://www.w3.org/2002/07/owl#Restriction>
subject_bnode	_:n9101eb81d8ac4180a6764f4807965847b11	<http://www.w3.org/1999/02/22-rdf-syntax-ns#rest>	_:n9101eb81d8ac4180a6764f4807965847b12
subject_bnode	_:n9101eb81d8ac4180a6764f4807965847b19	<http://www.w3.org/1999/02/22-rdf-syntax-ns#rest>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#nil>
object_bnode	<http://www.lehigh.edu/~zhp2/2004/0401/univ-bench.owl#GraduateStudent>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	_:n9101eb81d8ac4180a6764f4807965847b16
subject_bnode	_:n9101eb81d8ac4180a6764f4807965847b13	<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>	<http://www.w3.org/2002/07/owl#Restriction>
subject_bnode	_:n9101eb81d8ac4180a6764f4807965847b16	<http://www.w3.org/2002/07/owl#onProperty>	<http://www.lehigh.edu/~zhp2/2004/0401/univ-bench.owl#takesCourse>
subject_bnode	_:n9101eb81d8ac4180a6764f4807965847b10	<http://www.w3.org/2002/07/owl#onProperty>	<http://www.lehigh.edu/~zhp2/2004/0401/univ-bench.owl#worksFor>
subject_bnode	_:n9101eb81d8ac4180a6764f4807965847b3	<http://www.w3.org/1999/02/22-rdf-syntax-ns#first>	_:n9101eb81d8ac4180a6764f4807965847b1
subject_bnode	_:n9101eb81d8ac4180a6764f4807965847b13	<http://www.w3.org/2002/07/owl#onProperty>	<http://www.lehigh.edu/~zhp2/2004/0401/univ-bench.owl#headOf>
object_bnode	<http://www.lehigh.edu/~zhp2/2004/0401/univ-bench.owl#Dean>	<http://www.w3.org/2002/07/owl#intersectionOf>	_:n9101eb81d8ac4180a6764f4807965847b9
subject_bnode	_:n9101eb81d8ac4180a6764f4807965847b1	<http://www.w3.org/2002/07/owl#onProperty>	<http://www.lehigh.edu/~zhp2/2004/0401/univ-bench.owl#headOf>
subject_bnode	_:n9101eb81d8ac4180a6764f4807965847b10	<http://www.w3.org/2002/07/owl#someValuesFrom>	<http://www.lehigh.edu/~zhp2/2004/0401/univ-bench.owl#Organization>
subject_bnode	_:n9101eb81d8ac4180a6764f4807965847b8	<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>	<http://www.w3.org/2002/07/owl#Restriction>
object_bnode	<http://www.lehigh.edu/~zhp2/2004/0401/univ-bench.owl#TeachingAssistant>	<http://www.w3.org/2002/07/owl#intersectionOf>	_:n9101eb81d8ac4180a6764f4807965847b6
